Rank,Name,Location,Type,Images,Aesthetic_Score,Social Media Friendliness,Fun Factor/Nightlife Quality (For Bars/Pubs),"Crowd Vibe (Chill, Lively, Too Rowdy, etc.)",Ambiance and Interior Comfort,"Community Vibe (Welcoming, Regulars, Neutral Ground Feel)",Safety (General Safety and Safe for Women/LGBTQ+),Inclusion/Friendliness to Foreigners,Racism-Free Environment,Lighting (Brightness & Mood Suitability),Music Quality and Volume,Wi-Fi Speed and Reliability,Laptop/Work Friendliness (For Cafes),Value for Money / Pricing,Food Quality and Taste,Drink Quality and Selection,Cleanliness and Hygiene,Service Speed,Staff Friendliness and Attentiveness,Seating Comfort,Noise Level,Music Quality and Volume,Temperature Comfort (A/C effectiveness),Availability of Power Outlets,Menu Clarity and Usability,Wait Times / Queue Management,Ease of Reservations/Bookings,Crowd Density (Not Too Crowded / Overcrowded),Line of Sight/Personal Space at Tables,Food Safety (Visible Practices & Perceived Trust),Proactive Service (Order Accuracy & Refills Without Prompting),Air Quality (Indoors and Immediate Surroundings),Restroom Cleanliness,Payment Convenience (Multiple Digital Options/No Cash-Only Hassle),Walkability/Accessibility
88,Terrassen Cafe,Various,Garden Cafe,Terrace garden setup,50.689655172413794,okay,,okay,okay,okay,okay,okay,okay,okay,okay,okay,good,okay,okay,okay,good,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
89,Concu Cakes,Various,Bakery Cafe,Cake and pastry focused,50.689655172413794,okay,,okay,okay,okay,okay,okay,okay,okay,okay,okay,good,okay,okay,okay,good,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
90,Aura Cafe,Various,Pizza Cafe,Pizza specialist cafe,50.689655172413794,okay,,okay,okay,okay,okay,okay,okay,okay,okay,okay,good,okay,okay,okay,good,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
91,Babai Hotel Est. 1942,Old City,Traditional Restaurant,Historic budget restaurant,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
92,Grand Cafe,Various,Local Cafe,Local favorite,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,good,very good,okay,bad,good,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
93,Arambam,Various,Budget Restaurant,Affordable dining,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
94,THANUSRI FOOD COURT,Various,Food Court,Multiple food options,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
95,Daily Treats,Various,European Cafe,Budget European food,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,good,very good,okay,bad,good,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
96,Feast,Various,Indian Restaurant,Indian cuisine budget,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
97,Karachi Bakery,Various,Bakery,Famous Hyderabad bakery,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
98,Bawarchi,Various,Indian Restaurant,Local biryani spot,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
99,Chutneys,Various,South Indian,South Indian specialist,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
100,Mazzo,Various,Italian Restaurant,Budget Italian,46.724137931034484,bad,,okay,bad,good,okay,okay,okay,okay,okay,bad,bad,very good,okay,bad,good,okay,good,good,okay,okay,good,bad,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
